x	y	label	showSelected1	group
1980	200	state = AL	AL	6
1980	200	state = AZ	AZ	45
1980	200	state = AR	AR	10
1980	200	state = CA	CA	42
1980	200	state = CO	CO	26
1980	200	state = CT	CT	28
1980	200	state = DE	DE	27
1980	200	state = DC	DC	23
1980	200	state = FL	FL	2
1980	200	state = GA	GA	24
1980	200	state = ID	ID	44
1980	200	state = IL	IL	4
1980	200	state = IN	IN	8
1980	200	state = IA	IA	7
1980	200	state = KS	KS	3
1980	200	state = KY	KY	18
1980	200	state = LA	LA	9
1980	200	state = ME	ME	41
1980	200	state = MD	MD	11
1980	200	state = MA	MA	31
1980	200	state = MI	MI	30
1980	200	state = MN	MN	21
1980	200	state = MS	MS	5
1980	200	state = MO	MO	15
1980	200	state = MT	MT	43
1980	200	state = NE	NE	12
1980	200	state = NV	NV	49
1980	200	state = NH	NH	36
1980	200	state = NJ	NJ	33
1980	200	state = NM	NM	39
1980	200	state = NY	NY	35
1980	200	state = NC	NC	17
1980	200	state = ND	ND	25
1980	200	state = OH	OH	20
1980	200	state = OK	OK	1
1980	200	state = OR	OR	48
1980	200	state = PA	PA	32
1980	200	state = RI	RI	34
1980	200	state = SC	SC	13
1980	200	state = SD	SD	19
1980	200	state = TN	TN	14
1980	200	state = TX	TX	16
1980	200	state = UT	UT	47
1980	200	state = VT	VT	40
1980	200	state = VA	VA	29
1980	200	state = WA	WA	46
1980	200	state = WV	WV	38
1980	200	state = WI	WI	22
1980	200	state = WY	WY	37
